Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Cardiovascular Disease Pctl,Poverty
5977,Alameda ,94580,-122.1235777,37.6718054,10.57,30.78,82.33,0.0,97.56,70.64,49.68,16.8
2436,Los Angeles,90710,-118.3043557,33.7817852,20.85,68.24,77.57,0.0,57.53,41.09,17.9,16.7
3266,San Joaquin,95209,-121.3565447,38.0403551,42.56,52.56,53.86,0.0,77.88,64.93,69.22,18.0
6587,Contra Costa,94553,-122.0773567,38.0020819,14.92,32.15,75.88,63.03,80.46,67.25,48.92,13.0
7601,Los Angeles,91780,-118.0547526,34.1023093,76.94,69.6,42.34,36.1,16.2,12.33,13.5,24.1
4566,Placer ,95603,-121.0748502,38.9052966,75.12,6.38,71.79,40.86,62.45,55.4,49.25,35.9
3136,Sonoma ,95403,-122.7228509,38.4592263,10.57,9.62,87.65,28.62,85.18,41.7,35.72,25.2
4488,Los Angeles,91711,-117.743532,34.1143655,88.7,92.5,59.85,34.17,86.41,31.75,27.41,20.9
3990,Los Angeles,90024,-118.4490226,34.0626943,59.69,66.65,90.27,3.07,84.36,1.4,34.56,70.8
5810,Santa Clara,95122,-121.8146764,37.3198698,24.88,30.43,55.47,0.0,75.65,50.54,30.17,23.7
5482,Los Angeles,91604,-118.40678,34.1476412,75.12,62.38,60.63,6.55,67.58,14.71,42.02,15.9
4199,Kern ,93225,-119.1500356,34.9235317,82.69,9.53,5.96,84.66,37.55,18.2,43.64,30.7
9534,Ventura ,93003,-119.2209072,34.2631822,29.89,36.39,67.33,79.83,83.28,42.25,20.5,29.7
5229,San Bernardino,91730,-117.5827126,34.1142002,95.27,96.09,42.71,0.0,55.16,33.46,72.62,24.1
1570,San Francisco,94108,-122.4061645,37.7933506,3.12,30.88,95.58,0.0,23.56,21.14,7.8,44.6
6721,Los Angeles,90056,-118.3729521,33.9875024,37.57,69.62,34.25,0.0,88.59,63.33,20.6,12.6
3814,Sacramento ,95608,-121.3197237,38.6425987,62.53,34.13,10.63,0.0,22.54,88.7,62.6,23.7
4858,Los Angeles,91607,-118.4114177,34.1739658,79.99,61.16,50.65,0.0,61.44,27.57,47.52,25.8
4704,San Diego,92056,-117.3027415,33.1879915,35.16,40.26,54.52,71.66,70.76,30.81,54.22,28.9
3015,Los Angeles,90036,-118.3535529,34.0636762,51.9,67.09,59.15,0.0,70.66,27.98,49.17,19.1
3499,Orange ,92708,-117.9673986,33.7086418,39.99,61.71,65.0,7.62,93.61,27.68,50.72,22.1
5750,San Diego,92115,-117.0739019,32.7647357,37.57,48.1,34.05,0.0,41.58,73.12,52.01,47.8
5329,Los Angeles,91755,-118.1119018,34.0663876,69.32,77.15,38.71,0.0,79.88,12.49,4.54,43.2
7094,San Mateo,94015,-122.4929574,37.6727192,10.57,18.74,53.06,0.0,49.41,62.21,58.08,13.7
2542,San Diego,91932,-117.1072875,32.5794072,24.88,70.69,64.93,0.0,22.56,58.21,50.82,50.0
4687,Mendocino ,95437,-123.8014847,39.4312988,13.62,5.64,44.67,0.0,40.96,79.26,60.38,50.2
5188,Los Angeles,90731,-118.2962139,33.762648,16.78,67.62,29.83,0.0,66.98,56.22,22.92,6.9
13390,Riverside ,92563,-117.1520055,33.5863863,78.01,37.59,34.62,0.0,80.64,38.3,92.56,18.7
6458,San Francisco,94110,-122.4191487,37.7594331,3.83,23.29,90.19,0.0,30.58,72.61,33.6,24.6
1921,Los Angeles,90065,-118.22326,34.1029039,64.73,79.12,35.25,0.0,8.15,74.75,38.48,22.5
3167,Orange ,92612,-117.8396723,33.652607,57.77,53.78,41.37,11.17,52.09,5.67,2.9,75.6
8113,Alameda ,94536,-122.0212345,37.55696,14.92,23.78,92.61,0.0,88.39,47.23,52.01,13.0
3561,Monterey ,93908,-121.7956088,36.7252682,10.57,2.28,52.46,90.17,61.48,68.97,36.69,18.4
6071,Riverside ,92595,-117.2589261,33.6015412,76.94,48.56,68.16,0.0,86.13,51.63,98.93,21.3
3093,Los Angeles,91342,-118.4434108,34.3253362,97.6,53.79,47.19,0.0,68.41,73.29,57.13,18.8
5029,Riverside ,92592,-117.1252348,33.486084,71.66,28.91,71.44,41.59,74.18,20.75,72.81,26.0
2043,Los Angeles,91791,-117.9005028,34.0580051,74.1,86.57,9.79,0.0,24.09,50.32,61.37,12.3
3786,Los Angeles,91724,-117.8557814,34.0913988,78.01,87.64,23.32,0.0,15.23,53.2,55.45,15.6
3192,Santa Barbara,93013,-119.4905106,34.3882739,26.7,18.28,38.87,66.93,55.23,25.5,5.4,31.7
4368,El Dorado,96150,-120.0073155,38.8973453,62.53,0.58,31.51,0.0,33.11,30.2,3.25,36.8
2438,Los Angeles,91321,-118.5139837,34.3831933,95.27,46.24,28.76,0.0,86.89,51.2,52.16,14.2
