Total Population,California County,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty
1749,San Joaquin,44.45,39.63,25.49,89.64,2.73,91.27,64.77505112
5091,Ventura ,0.1,36.54,53.95,99.83,71.92,81.3,64.64709557
4085,Los Angeles,84.93,94.8,83.54,1.96,13.6,69.66,61.01945334
2210,Los Angeles,0.97,78.11,85.07,0.0,87.98,82.51,67.66104626
5237,Orange ,45.6,71.07,81.4,0.0,89.7,60.51,52.33314743
4154,Fresno ,84.61,97.16,66.39,38.13,64.03,82.61,68.49843336
4435,Los Angeles,4.55,70.32,79.58,42.61,57.54,88.37,69.98461877
3998,San Joaquin,43.1,43.87,68.32,44.2,75.27,88.82,67.12802768
4036,Los Angeles,59.87,90.07,92.79,72.67,99.8,56.49,26.27160494
3000,Los Angeles,41.89,87.05,69.94,0.0,70.9,78.41,57.57022984
2279,San Joaquin,42.34,43.37,69.33,16.57,52.76,89.01,74.11630559
3357,Los Angeles,79.21,57.36,86.01,0.0,87.73,80.33,47.1488178
3454,Los Angeles,23.64,85.23,81.69,0.0,30.98,89.52,68.49356095
4681,Stanislaus ,63.05,51.91,60.82,0.0,76.26,56.62,71.15652578
2607,Los Angeles,47.88,85.21,98.51,0.0,88.77,78.71,68.98826979
6835,Los Angeles,82.04,94.26,84.41,0.0,72.65,69.66,47.58379888
3738,Los Angeles,84.45,94.36,82.45,0.0,28.13,71.91,75.05612372
4580,Los Angeles,67.4,65.32,77.52,0.07,52.6,73.41,61.94187026
3064,Fresno ,90.67,95.15,83.06,73.46,33.59,83.63,44.59016393
4564,Los Angeles,11.35,81.04,80.68,0.0,98.17,97.56,73.3290762
2293,Sacramento ,64.9,47.12,16.59,74.26,24.24,77.07,45.99471831
1422,Los Angeles,75.93,89.3,73.8,58.32,89.19,57.35,27.84412319
2446,Los Angeles,0.0,63.82,99.89,29.13,58.61,95.96,79.89214176
3250,San Diego,7.59,54.46,77.77,0.0,94.34,91.67,76.63639211
4994,Los Angeles,5.99,78.95,85.07,0.0,77.77,97.59,54.53187251
3303,Los Angeles,45.07,86.88,97.93,0.0,64.05,79.73,68.33445265
4726,Los Angeles,64.78,89.58,84.76,0.0,37.08,64.28,61.49848419
2762,Los Angeles,30.75,86.52,81.4,0.0,42.62,57.85,50.09423294
3313,Los Angeles,21.5,84.74,81.69,0.0,93.93,96.64,80.53325688
4311,Los Angeles,50.97,84.79,92.99,0.0,24.16,62.74,31.01956746
7750,Fresno ,79.56,98.49,43.86,77.88,6.69,88.26,44.98521108
4052,San Bernardino,92.44,95.96,92.46,22.35,16.88,74.78,50.21881838
7766,Kern ,82.92,99.24,97.4,0.0,60.03,90.31,71.70159483
4176,Los Angeles,20.58,75.91,89.34,2.96,92.37,69.44,66.06377915
4729,Los Angeles,28.03,86.39,81.69,0.0,37.06,70.65,73.92724897
5655,Los Angeles,16.46,82.4,81.0,0.0,98.34,96.64,74.73321859
3520,Los Angeles,38.84,83.96,99.02,0.0,92.42,56.82,80.10319252
4345,Los Angeles,0.0,74.7,88.9,0.0,46.58,94.19,45.46075085
4902,Los Angeles,18.2,74.9,90.1,3.29,87.26,69.44,65.58375635
6556,Los Angeles,46.14,88.44,92.12,0.0,80.72,82.11,54.58184417
3953,Merced ,74.43,65.96,92.11,25.01,32.91,99.08,69.5336008
3288,Riverside ,81.22,88.1,93.99,0.0,96.56,24.95,66.2422574
3365,Los Angeles,0.0,67.61,92.51,53.17,47.79,74.4,65.7790927
3319,Los Angeles,29.25,86.62,82.25,0.0,45.27,58.34,66.31274131
2869,Los Angeles,30.45,80.32,64.27,0.0,99.28,88.19,53.97350993
2037,Los Angeles,62.76,90.89,81.92,18.07,78.12,35.25,49.74590627
6971,Los Angeles,55.59,89.09,72.21,58.95,67.34,24.42,47.73609314
7225,Los Angeles,83.11,94.21,85.35,0.0,20.32,69.66,62.27922624
5559,Stanislaus ,61.31,51.28,59.39,83.46,13.01,61.17,75.88342441
4679,Los Angeles,59.42,89.33,84.25,18.13,26.47,54.77,67.27822145
4795,Sacramento ,52.66,44.96,55.06,0.0,93.01,97.93,74.11864049
3582,Los Angeles,0.0,76.52,85.07,0.0,92.6,77.9,40.81867973
5860,Stanislaus ,72.08,58.21,50.43,59.25,47.24,75.17,73.902133
5401,Los Angeles,65.38,91.34,84.34,0.0,68.93,61.16,53.25101293
3513,Los Angeles,44.75,79.19,89.68,0.0,95.35,51.99,66.85830233
1987,Stanislaus ,59.36,47.82,27.9,78.11,14.58,60.93,59.72375691
6352,Los Angeles,0.0,69.99,94.19,0.0,94.0,89.5,52.58593504
7016,Tulare ,86.35,78.78,13.66,87.88,6.02,72.35,62.64874703
7305,Los Angeles,70.35,90.14,75.19,29.09,41.11,59.11,49.85163205
4375,Los Angeles,0.0,79.13,95.26,44.27,92.72,57.3,61.57688966
9612,Madera ,69.07,89.26,66.34,67.29,29.51,93.05,75.57777778
2608,Fresno ,83.6,96.56,22.3,92.36,4.28,58.49,81.6955684
5273,Los Angeles,19.29,81.13,70.43,0.0,35.94,94.12,81.227961
4358,Los Angeles,28.62,85.46,94.55,0.0,65.69,90.89,83.2780083
3282,San Bernardino,98.72,72.19,80.06,0.0,86.13,98.99,75.76751118
3794,Los Angeles,67.35,64.75,68.99,0.9,55.62,74.04,63.62885463
4585,Fresno ,82.85,98.35,18.45,96.38,11.96,80.47,68.70527001
2384,Los Angeles,20.15,80.58,70.43,0.0,90.43,94.87,78.26439578
239,Los Angeles,0.0,64.67,99.44,0.0,50.54,57.32,90.38461538
