Total Population,California County,ZIP,Longitude,Latitude,Ozone Pctl,PM2.5 Pctl,Diesel PM Pctl,Pesticides Pctl,Traffic Pctl,Asthma Pctl,Poverty Pctl,Cardiovascular Disease Pctl
3842,Los Angeles,90277,-118.3900604,33.8340991,40.49,81.66,42.35,0.0,60.93,18.96,23.72,41.65
4795,Sacramento ,95864,-121.3743962,38.5863007,69.23,40.92,28.31,0.0,63.42,52.05,7.81,42.79
3156,San Diego,91901,-116.647342,32.8244867,69.23,83.99,2.43,0.0,6.0,13.74,44.68,20.2
4334,San Francisco,94121,-122.4840627,37.7782506,7.58,17.81,93.29,0.0,29.55,14.0,37.25,18.56
7458,Santa Cruz,95010,-121.9654587,36.974907,16.94,17.81,38.67,25.24,51.79,33.08,39.28,7.03
6774,Santa Clara,95138,-121.7683503,37.2569417,22.34,52.61,21.79,0.0,92.62,13.43,6.84,13.22
6875,Alameda ,94539,-121.9421767,37.5345605,16.94,40.92,80.98,13.47,81.03,8.76,3.72,29.06
4095,Yolo ,95618,-121.7025621,38.5403403,40.49,20.16,15.21,71.54,64.69,12.88,27.77,10.6
2688,Monterey ,93933,-121.7650077,36.6605317,16.94,3.92,8.13,92.14,5.7,7.08,60.3,2.08
1409,Siskiyou ,35,-121.8260568,41.4116025,40.49,1.97,0.31,36.81,0.89,26.23,58.16,82.43
4332,Orange ,92649,-118.0371737,33.7226068,40.49,66.23,22.99,0.0,39.47,16.74,21.91,37.28
3239,Sonoma ,95492,-122.8126591,38.5565372,11.08,32.66,34.32,62.71,38.3,33.24,17.26,44.11
4955,San Diego,92021,-116.8631385,32.8179291,60.88,66.23,10.59,27.7,41.95,52.6,39.92,28.4
4320,San Francisco,94109,-122.4205531,37.7980418,7.58,30.7,98.78,0.0,44.19,55.14,18.69,12.11
3358,Contra Costa,94518,-122.0202412,37.9690383,22.34,17.81,46.45,0.0,49.1,51.74,36.86,25.0
3358,Los Angeles,90049,-118.4815022,34.0545499,53.02,69.14,17.85,0.0,53.49,2.9,7.04,11.91
3749,Contra Costa,94521,-122.0017551,37.9631631,22.34,17.81,39.71,0.0,41.36,43.6,27.37,21.59
2599,San Diego,92065,-116.8231087,33.072914,64.8,42.86,2.64,26.97,7.38,16.17,23.14,39.04
4091,Contra Costa,94521,-121.9701205,37.9649061,22.34,17.81,21.94,0.0,38.29,68.76,39.7,59.07
4171,Santa Clara,94086,-122.0504683,37.378603,16.94,52.61,68.91,0.0,44.0,7.79,16.67,10.9
6536,Placer ,95650,-121.1999804,38.8271204,73.93,17.81,27.06,32.72,51.16,18.1,12.07,25.0
1860,San Diego,92071,-117.0043675,32.8456215,40.49,52.61,29.6,0.0,22.75,40.07,20.89,50.41
6146,Placer ,95631,-120.5640417,39.0828051,73.93,4.73,3.02,18.42,1.29,18.29,37.66,39.17
5094,Kern ,93555,-117.6877306,35.6298168,82.1,7.76,17.78,0.0,8.18,70.12,39.7,99.83
4495,Sacramento ,95662,-121.2349624,38.6713445,77.87,30.7,20.44,5.33,64.27,33.23,28.6,42.31
2774,Orange ,92637,-117.7378821,33.6110236,60.88,30.7,40.92,0.0,39.34,20.31,33.75,22.57
2641,Placer ,95765,-121.2687886,38.8098522,73.93,17.81,41.22,0.0,11.48,22.37,59.35,45.82
3463,Mono ,93514,-118.5813604,37.6888353,91.1,0.01,0.12,34.83,0.58,23.08,48.15,19.85
6143,Sonoma ,94928,-122.6825544,38.3392841,7.58,7.76,45.94,0.0,13.28,40.09,40.39,31.64
4852,Orange ,92691,-117.6672345,33.6050678,64.8,30.7,39.22,33.07,23.79,22.57,11.23,43.47
3091,Los Angeles,90210,-118.4376439,34.1379878,69.23,69.14,28.05,0.0,73.05,5.4,1.07,20.35
2704,El Dorado,96150,-119.9583769,38.8426463,73.93,0.31,1.61,0.0,11.42,4.35,24.4,2.88
4701,El Dorado,95726,-120.5987224,38.7682537,77.87,4.05,2.84,32.13,9.02,32.86,59.07,35.49
7135,San Diego,92040,-116.9197122,32.8364013,53.02,66.23,29.36,0.0,29.18,42.29,40.21,25.15
7220,Riverside ,92563,-117.1229937,33.5472159,82.1,7.76,28.66,0.0,24.59,9.1,14.12,33.4
3529,Orange ,92807,-117.7923658,33.8407667,64.8,66.23,16.94,0.0,26.09,17.74,9.94,35.49
4465,San Diego,92010,-117.3081967,33.175329,31.84,40.92,44.77,57.89,87.62,11.83,10.58,11.23
5275,San Diego,92024,-117.3060959,33.0772389,31.84,52.61,36.9,58.31,22.95,6.45,37.52,12.78
3448,Los Angeles,90068,-118.3211428,34.1200812,69.23,83.99,24.94,0.0,,9.03,21.06,36.33
5375,Contra Costa,94553,-122.1903986,37.9544588,11.08,20.16,8.8,26.32,30.35,72.46,6.11,54.0
1704,Riverside ,92276,-116.3795881,33.8530222,100.0,10.74,8.34,72.16,63.18,5.39,57.64,4.43
4619,Orange ,92646,-117.9845181,33.6939742,40.49,66.23,26.46,46.3,59.61,6.97,42.6,4.49
2637,San Mateo,94403,-122.2825353,37.5317305,11.08,32.61,43.0,0.0,86.5,15.0,13.22,5.05
3632,Alameda ,94702,-122.2896443,37.8794799,7.58,30.7,86.48,0.0,18.9,62.55,23.48,5.47
5896,El Dorado,95684,-120.5343814,38.6035985,77.87,3.97,1.87,36.74,1.33,25.18,54.58,15.67
2691,San Diego,92111,-117.1810994,32.8034143,31.84,42.86,40.5,0.0,47.79,69.19,25.77,10.22
5259,San Diego,92126,-117.1629598,32.9147375,40.49,40.92,26.93,0.0,63.73,25.7,8.75,22.57
3635,Ventura ,91361,-118.8464045,34.1376331,64.8,40.92,11.14,5.82,59.07,4.34,7.67,34.96
4444,Orange ,92649,-118.0458577,33.7188921,40.49,66.23,36.07,0.0,35.63,16.74,18.21,37.28
3865,Lake ,95451,-122.7736029,38.8709539,22.34,1.86,2.35,46.92,1.74,36.83,56.92,36.33
2277,Los Angeles,91350,-118.5295463,34.4558936,91.1,40.92,18.93,0.0,33.8,14.44,15.64,67.32
3869,Los Angeles,91105,-118.1745514,34.1341118,69.23,66.23,56.15,0.0,90.93,8.19,2.21,6.28
